site,country,lat,lon,hazard,indicator,label,scenario,year,value,model,error
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2030,0.0,days_tas/above/35c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.05,days_tas/above/35c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.5,days_tas/above/35c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.05,days_tas/above/35c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.05,days_tas/above/35c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.2499,days_tas/above/35c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,1.449,days_tas/above/35c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.9489,days_tas/above/35c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.05,days_tas/above/35c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2050,0.0,days_tas/above/35c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.25,days_tas/above/35c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,2.101,days_tas/above/35c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.25,days_tas/above/35c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.25,days_tas/above/35c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.6493,days_tas/above/35c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.6489,days_tas/above/35c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,1.346,days_tas/above/35c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.25,days_tas/above/35c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,days_tas/above/35c,TX35_days,ssp126,2090,0.0,days_tas/above/35c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.4995,days_tas/above/35c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.3999,days_tas/above/35c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2030,0.0,days_tas/above/35c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,days_tas/above/35c,TX35_days,ssp245,2050,0.0,days_tas/above/35c,
